keyword,docid
10,"[1053, 5235]"
11,[8711]
12,[7422]
13,[1053]
150,[1053]
16,[7422]
20,[7422]
20051201,[8711]
2006,"[1053, 3644, 5235, 7422, 8711]"
20091225,[7422]
20120627,[5235]
20170323,[3644]
2020,"[1053, 3644, 5235, 7422, 8711]"
20210518,[1053]
21002200,[5235]
22,[3644]
2230,[5235]
3,[3644]
5,"[1053, 8711, 8711, 8711]"
57,[5235]
6,[5235]
7,"[8711, 8711]"
8,"[8711, 8711]"
Copyright,"[1053, 3644, 5235, 7422, 8711]"
一名,[7422]
一大早,[8711]
一天,[5235]
一定,[5235]
一次,[7422]
一步,"[3644, 8711]"
一流,[3644]
一线,[7422]
一行,"[3644, 3644]"
上,"[5235, 7422, 7422]"
上午,[3644]
上旬,[5235]
上王,[5235]
下,"[3644, 5235, 8711]"
下发,[1053]
下降,[8711]
不,[7422]
不严,[8711]
不断,"[1053, 1053, 7422]"
不稳,[5235]
不能,[8711]
与会,[7422]
专门,[1053]
世界,"[3644, 3644]"
业务,"[3644, 3644, 3644]"
业务部,[3644]
东校区,[3644]
东西,[5235]
两,[1053]
两个,"[5235, 8711]"
两处,[5235]
严格,[1053]
严重,[8711]
中,"[3644, 5235, 5235, 7422, 7422, 7422, 7422]"
中午,[5235]
中国,[3644]
中国人民大学,"[1053, 1053, 1053, 3644, 3644, 3644, 3644, 3644, 3644, 3644, 3644, 3644, 5235, 5235, 5235, 7422, 7422, 7422, 8711, 8711, 8711]"
中心,"[3644, 3644, 3644, 3644, 3644, 3644, 5235, 7422, 8711, 8711, 8711]"
丰富,[3644]
临近,[5235]
为主,[3644]
主任,"[1053, 3644, 3644, 3644, 3644, 3644]"
主讲,[1053]
主题,[5235]
举办,"[5235, 5235]"
之后,[5235]
乔鹏,[3644]
习近平,[3644]
书记,"[3644, 5235, 5235]"
事宜,"[3644, 3644, 3644, 3644]"
交流,[3644]
交流中心,"[7422, 7422]"
人,[8711]
人事管理,[1053]
人员,"[1053, 1053]"
人大,"[1053, 1053, 3644, 3644, 3644, 3644, 3644, 5235, 5235, 7422, 7422, 8711, 8711]"
人性化,[7422]
人才,"[1053, 3644, 5235, 7422, 8711]"
人数,[5235]
人民大学,[3644]
今后,[5235]
今天,"[1053, 3644, 5235, 7422, 8711]"
介绍,"[1053, 1053, 3644, 5235]"
代表,"[5235, 5235, 5235, 5235, 5235, 5235, 5235, 5235, 7422]"
以此,[3644]
任务,[1053]
优势,[3644]
优质,[5235]
会,"[1053, 5235]"
会上,[7422]
会后,[1053]
会见,[3644]
会议,"[5235, 7422]"
位于,[3644]
位置,[5235]
住宿,[5235]
余名,[5235]
佳绩,[7422]
使,"[7422, 7422, 7422]"
使受,[8711]
使用,"[5235, 5235, 5235]"
供暖,"[8711, 8711, 8711, 8711, 8711, 8711, 8711, 8711, 8711]"
便,[8711]
保证,"[3644, 8711, 8711]"
信任,[7422]
值班员,"[1053, 1053]"
倾听,[5235]
做,[1053]
做出,[3644]
做好,[1053]
充分利用,[3644]
充分发挥,[3644]
充足,[5235]
党团,"[1053, 1053, 3644, 3644, 5235, 5235, 7422, 7422, 8711, 8711]"
党委,[3644]
党委书记,[5235]
党委委员,[3644]
入职,"[1053, 1053]"
全体,"[1053, 1053, 1053]"
全力,[3644]
全方位,[3644]
全面,[3644]
公共,"[5235, 5235]"
公共设施,[5235]
公告,"[1053, 1053, 3644, 3644, 5235, 5235, 7422, 7422, 8711, 8711]"
公寓,"[1053, 1053, 1053, 1053, 1053, 1053, 1053, 1053, 1053, 1053, 7422]"
共同,"[3644, 5235]"
共同努力,[5235]
关心,[7422]
关掉,[8711]
关注,[5235]
关键,[1053]
